"DateTime","Additions","Deletions"
"2025-02-09",170,0
"2025-02-16",0,0
"2025-02-23",12,-7
"2025-03-02",53,-4
"2025-03-09",7,-4
"2025-03-16",5,-3
"2025-03-23",29,-31
"2025-03-30",0,0
