"DateTime","Additions","Deletions"
"2024-04-07",578,-288
"2024-04-14",0,0
"2024-04-21",61,-58
"2024-04-28",0,0
"2024-05-05",11,0
"2024-05-12",0,0
"2024-05-19",0,0
"2024-05-26",0,0
"2024-06-02",13,-2
"2024-06-09",4,-1
"2024-06-16",0,0
"2024-06-23",68,-11
"2024-06-30",0,0
"2024-07-07",0,0
"2024-07-14",0,0
"2024-07-21",0,0
"2024-07-28",0,0
"2024-08-04",0,0
"2024-08-11",0,0
"2024-08-18",0,0
"2024-08-25",0,0
"2024-09-01",14,0
"2024-09-08",0,0
"2024-09-15",0,0
"2024-09-22",0,0
"2024-09-29",0,0
"2024-10-06",0,0
"2024-10-13",0,0
"2024-10-20",0,0
"2024-10-27",0,0
"2024-11-03",15,-2
"2024-11-10",0,0
"2024-11-17",0,0
"2024-11-24",0,0
"2024-12-01",0,0
"2024-12-08",0,0
"2024-12-15",0,0
"2024-12-22",0,0
"2024-12-29",0,0
"2025-01-05",0,0
"2025-01-12",0,0
"2025-01-19",46,-268
"2025-01-26",0,0
"2025-02-02",0,0
"2025-02-09",12,-5
"2025-02-16",0,0
"2025-02-23",0,0
"2025-03-02",49,0
"2025-03-09",0,0
"2025-03-16",0,0
"2025-03-23",7,-16
"2025-03-30",0,0
